No.,Time,Source,Destination,Protocol,Length,Sequence Number,Info
126,37.189969,99.80.34.168,192.168.0.104,TCP,1506,2981,443  >  52744 [ACK] Seq=2981 Ack=432 Win=64384 Len=1440 TSval=614415709 TSecr=3128460215 [TCP segment of a reassembled PDU]
127,37.190038,99.80.34.168,192.168.0.104,TLSv1.2,758,4421,Certificate
128,37.190041,99.80.34.168,192.168.0.104,TLSv1.2,404,5113,Server Key Exchange
129,37.190045,99.80.34.168,192.168.0.104,TLSv1.2,75,5451,Server Hello Done
137,37.307556,99.80.34.168,192.168.0.104,TCP,66,5460,443  >  52744 [ACK] Seq=5460 Ack=507 Win=64384 Len=0 TSval=614415828 TSecr=3128460334
140,37.367553,99.80.34.168,192.168.0.104,TCP,66,5460,443  >  52744 [ACK] Seq=5460 Ack=513 Win=64384 Len=0 TSval=614415892 TSecr=3128460399
141,37.369769,99.80.34.168,192.168.0.104,TCP,66,5460,443  >  52744 [ACK] Seq=5460 Ack=558 Win=64384 Len=0 TSval=614415894 TSecr=3128460401
142,37.36981,99.80.34.168,192.168.0.104,TLSv1.2,72,5460,Change Cipher Spec
143,37.369815,99.80.34.168,192.168.0.104,TLSv1.2,111,5466,Encrypted Handshake Message
148,37.416814,99.80.34.168,192.168.0.104,TCP,66,5511,443  >  52744 [ACK] Seq=5511 Ack=1998 Win=63360 Len=0 TSval=614415928 TSecr=3128460433
149,37.417251,99.80.34.168,192.168.0.104,TCP,66,5511,443  >  52744 [ACK] Seq=5511 Ack=2217 Win=63360 Len=0 TSval=614415928 TSecr=3128460433
150,37.43515,99.80.34.168,192.168.0.104,TLSv1.2,392,5511,Application Data
151,37.435193,99.80.34.168,192.168.0.104,TLSv1.2,230,5837,Application Data
155,37.817726,192.168.0.102,192.168.0.104,ICMP,60,,"Echo (ping) request  id=0x0001, seq=5313/49428, ttl=127 (reply in 157)"
158,38.315057,192.168.0.102,192.168.0.104,ICMP,60,,"Echo (ping) request  id=0x0001, seq=5314/49684, ttl=127 (reply in 159)"
160,38.317659,192.168.0.102,192.168.0.104,ICMP,60,,"Echo (ping) request  id=0x0001, seq=5315/49940, ttl=127 (reply in 161)"
162,38.348838,192.168.0.102,192.168.0.104,ICMP,60,,"Echo (ping) request  id=0x0001, seq=5316/50196, ttl=127 (reply in 163)"
164,38.35122,192.168.0.102,192.168.0.104,ICMP,60,,"Echo (ping) request  id=0x0001, seq=5317/50452, ttl=127 (reply in 165)"
166,38.354512,192.168.0.102,192.168.0.104,ICMP,60,,"Echo (ping) request  id=0x0001, seq=5318/50708, ttl=127 (reply in 167)"
168,38.400438,192.168.0.102,192.168.0.104,ICMP,60,,"Echo (ping) request  id=0x0001, seq=5319/50964, ttl=127 (reply in 169)"
170,38.403031,192.168.0.102,192.168.0.104,ICMP,60,,"Echo (ping) request  id=0x0001, seq=5320/51220, ttl=127 (reply in 171)"
172,38.40528,192.168.0.102,192.168.0.104,ICMP,60,,"Echo (ping) request  id=0x0001, seq=5321/51476, ttl=127 (reply in 173)"
174,38.461515,192.168.0.102,192.168.0.104,ICMP,60,,"Echo (ping) request  id=0x0001, seq=5322/51732, ttl=127 (reply in 175)"
176,38.46458,192.168.0.102,192.168.0.104,ICMP,60,,"Echo (ping) request  id=0x0001, seq=5323/51988, ttl=127 (reply in 177)"
178,38.467679,192.168.0.102,192.168.0.104,ICMP,60,,"Echo (ping) request  id=0x0001, seq=5324/52244, ttl=127 (reply in 179)"
180,38.488054,192.168.0.102,192.168.0.104,ICMP,60,,"Echo (ping) request  id=0x0001, seq=5325/52500, ttl=127 (reply in 181)"
182,38.490911,192.168.0.102,192.168.0.104,ICMP,60,,"Echo (ping) request  id=0x0001, seq=5326/52756, ttl=127 (reply in 183)"
184,38.506474,192.168.0.102,192.168.0.104,ICMP,60,,"Echo (ping) request  id=0x0001, seq=5327/53012, ttl=127 (reply in 185)"
