"No.","Time","Source","Destination","Protocol","Length","Info"
"6940","2021-04-01 20:34:16.513315","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=14726 Ack=14726 Win=8292 Len=0 TSval=3492939612 TSecr=12954124"
"6941","2021-04-01 20:34:16.532540","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=14726 Ack=14727 Win=425 Len=0 TSval=12969321 TSecr=3492924435"
"6942","2021-04-01 20:34:27.265276","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=14726 Ack=14726 Win=1002 Len=0 TSval=2213507822 TSecr=1126824767"
"6943","2021-04-01 20:34:27.287213","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=14726 Ack=14727 Win=120 Len=0 TSval=1126839871 TSecr=2213477561"
"6944","2021-04-01 20:34:31.617094","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=14726 Ack=14726 Win=8292 Len=0 TSval=3492954716 TSecr=12969321"
"6945","2021-04-01 20:34:31.636761","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=14726 Ack=14727 Win=425 Len=0 TSval=12984425 TSecr=3492924435"
"6946","2021-04-01 20:34:31.981365","192.168.0.101","34.240.107.124","TLSv1.2","97","Application Data"
"6947","2021-04-01 20:34:32.004333","34.240.107.124","192.168.0.101","TLSv1.2","97","Application Data"
"6948","2021-04-01 20:34:32.004807","192.168.0.101","34.240.107.124","TCP","66","49730  >  443 [ACK] Seq=14758 Ack=14757 Win=1002 Len=0 TSval=2213512562 TSecr=1126844589"
"6949","2021-04-01 20:34:36.316239","192.168.0.101","52.210.184.200","TLSv1.2","97","Application Data"
"6950","2021-04-01 20:34:36.336260","52.210.184.200","192.168.0.101","TLSv1.2","97","Application Data"
"6951","2021-04-01 20:34:36.336686","192.168.0.101","52.210.184.200","TCP","66","58088  >  443 [ACK] Seq=14758 Ack=14757 Win=8292 Len=0 TSval=3492959436 TSecr=12989125"
"6952","2021-04-01 20:34:47.233040","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=14757 Ack=14757 Win=1002 Len=0 TSval=2213527790 TSecr=1126844589"
"6953","2021-04-01 20:34:47.254823","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=14757 Ack=14758 Win=120 Len=0 TSval=1126859839 TSecr=2213512562"
"6954","2021-04-01 20:34:51.585194","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=14757 Ack=14757 Win=8292 Len=0 TSval=3492974684 TSecr=12989125"
"6955","2021-04-01 20:34:51.604497","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=14757 Ack=14758 Win=425 Len=0 TSval=13004393 TSecr=3492959436"
"6956","2021-04-01 20:35:02.337205","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=14757 Ack=14757 Win=1002 Len=0 TSval=2213542895 TSecr=1126859839"
"6957","2021-04-01 20:35:02.359203","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=14757 Ack=14758 Win=120 Len=0 TSval=1126874943 TSecr=2213512562"
"6958","2021-04-01 20:35:06.689131","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=14757 Ack=14757 Win=8292 Len=0 TSval=3492989789 TSecr=13004393"
"6959","2021-04-01 20:35:06.708251","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=14757 Ack=14758 Win=425 Len=0 TSval=13019498 TSecr=3492959436"
"6960","2021-04-01 20:35:06.981459","192.168.0.101","34.240.107.124","TLSv1.2","97","Application Data"
"6961","2021-04-01 20:35:07.003819","34.240.107.124","192.168.0.101","TLSv1.2","97","Application Data"
"6962","2021-04-01 20:35:07.004281","192.168.0.101","34.240.107.124","TCP","66","49730  >  443 [ACK] Seq=14789 Ack=14788 Win=1002 Len=0 TSval=2213547562 TSecr=1126879588"
"6963","2021-04-01 20:35:11.316126","192.168.0.101","52.210.184.200","TLSv1.2","97","Application Data"
"6964","2021-04-01 20:35:11.336302","52.210.184.200","192.168.0.101","TLSv1.2","97","Application Data"
"6965","2021-04-01 20:35:11.336827","192.168.0.101","52.210.184.200","TCP","66","58088  >  443 [ACK] Seq=14789 Ack=14788 Win=8292 Len=0 TSval=3492994437 TSecr=13024126"
"6966","2021-04-01 20:35:22.049053","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=14788 Ack=14788 Win=1002 Len=0 TSval=2213562607 TSecr=1126879588"
"6967","2021-04-01 20:35:22.070904","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=14788 Ack=14789 Win=120 Len=0 TSval=1126894655 TSecr=2213547562"
"6968","2021-04-01 20:35:26.401115","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=14788 Ack=14788 Win=8292 Len=0 TSval=3493009501 TSecr=13024126"
"6969","2021-04-01 20:35:26.420216","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=14788 Ack=14789 Win=425 Len=0 TSval=13039210 TSecr=3492994437"
"6970","2021-04-01 20:35:37.153057","192.168.0.101","34.240.107.124","TCP","66","[TCP Keep-Alive] 49730  >  443 [ACK] Seq=14788 Ack=14788 Win=1002 Len=0 TSval=2213577711 TSecr=1126894655"
"6971","2021-04-01 20:35:37.174635","34.240.107.124","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  49730 [ACK] Seq=14788 Ack=14789 Win=120 Len=0 TSval=1126909759 TSecr=2213547562"
"6972","2021-04-01 20:35:41.504980","192.168.0.101","52.210.184.200","TCP","66","[TCP Keep-Alive] 58088  >  443 [ACK] Seq=14788 Ack=14788 Win=8292 Len=0 TSval=3493024606 TSecr=13039210"
"6973","2021-04-01 20:35:41.524373","52.210.184.200","192.168.0.101","TCP","66","[TCP Keep-Alive ACK] 443  >  58088 [ACK] Seq=14788 Ack=14789 Win=425 Len=0 TSval=13054315 TSecr=3492994437"
"6974","2021-04-01 20:35:41.981378","192.168.0.101","34.240.107.124","TLSv1.2","97","Application Data"
"6975","2021-04-01 20:35:42.003686","34.240.107.124","192.168.0.101","TLSv1.2","97","Application Data"
